Unnamed: 0,name_of_the_fund_lst,aum_funds_individual_lst,nav_funds_individual_lst,Exit_Load_lst,rating_of_funds_individual_lst,minimum_funds_individual_lst,pe,pb,debt_per,equity_per,average_maturity,yield_to_maturity,name_of_the_fund,risk_of_the_fund,type_of_fund,one_year_returns,three_year_returns,five_year_returns,link_of_the_funds
82,ICICI Prudential Midcap Direct Plan Growth,"₹3,091.32Cr",171.06,Exit load of 1% if redeemed within 1 year.,2,100.0,21.94462596,2.84521939,6.42007705,93.57992265,,,ICICI Prudential Midcap Direct Plan Growth,Very High,Equity,3.75,20.87,12.49,https://groww.in/mutual-funds/icici-prudential-midcap-fund-direct-growth
83,HDFC Retirement Savings Fund Equity Plan Direct Growth,"₹2,087.87Cr",30.99,Nil,5,300.0,17.50126761,2.5740816,11.99,88.01,,,HDFC Retirement Savings Fund Equity Plan Direct Growth,Very High,Solution Oriented,5.35,20.82,13.85,https://groww.in/mutual-funds/hdfc-retirement-savings-fund-equity-plan-direct-growth
84,ICICI Prudential Value Discovery Direct Growth,"₹23,053.47Cr",265.84,Exit load of 1% if redeemed within 12 months,4,100.0,11.91318976,1.70724666,7.11989896,92.88010104,,,ICICI Prudential Value Discovery Direct Growth,Very High,Equity,13.59,20.67,13.15,https://groww.in/mutual-funds/icici-prudential-value-discovery-fund-direct-growth
85,Canara Robeco Emerging Equities Fund Direct Growth,"₹12,768.56Cr",168.43,Exit load of 1% if redeemed within 1 year,4,12768.56,29.50008449,3.95383405,5.77999999,94.22,,,Canara Robeco Emerging Equities Fund Direct Growth,Very High,Equity,3.61,20.61,13.21,https://groww.in/mutual-funds/canara-robeco-emerging-equities-direct-growth
86,Taurus Discovery (Midcap) Fund Direct Growth,₹67.07Cr,72.41,Exit load of 1% if redeemed within 365 days.,3,67.07,18.21362834,2.21876922,0.5700000000000001,99.43,,,Taurus Discovery (Midcap) Fund Direct Growth,Very High,Equity,-1.63,20.58,11.66,https://groww.in/mutual-funds/taurus-discovery-fund-direct-growth
87,IIFL Focused Equity Fund Direct Growth,"₹2,777.90Cr",30.24,Exit load of 1% if redeemed within 12 months.,5,2777.9,18.56046696,2.83125161,10.03844132,89.96155849,,,IIFL Focused Equity Fund Direct Growth,Very High,Equity,3.1,20.57,15.2,https://groww.in/mutual-funds/iifl-focused-equity-growth-fund-direct-growth
88,Franklin India Technology Fund Direct Growth,₹656.62Cr,295.08,Exit load of 1% if redeemed within 1 year,,500.0,19.16284472,4.84553587,4.92915756,95.07084225,,,Franklin India Technology Fund Direct Growth,Very High,Equity,-9.46,20.54,19.12,https://groww.in/mutual-funds/franklin-infotech-fund-direct-growth
89,Canara Robeco Infrastructure Direct Growth,₹196.78Cr,81.01,"Exit load of 1% if redeemed within 1 year.
Same for SIP.",3,196.78,18.83765152,2.86680633,5.82,94.18,,,Canara Robeco Infrastructure Direct Growth,Very High,Equity,12.62,20.48,10.49,https://groww.in/mutual-funds/canara-robeco-infrastructure-fund-direct-growth
90,Quant Focused Fund Direct Growth,₹96.67Cr,54.90,Nil,5,96.67,15.08791672,1.91763353,2.75765186,97.24234802,,,Quant Focused Fund Direct Growth,Very High,Equity,4.79,20.43,13.86,https://groww.in/mutual-funds/quant-focused-fund-direct-growth
91,Canara Robeco Equity Tax Saver Direct Growth,"₹3,517.62Cr",116.45,Nil,5,500.0,28.62026329,3.86502616,4.11999999,95.88,,,Canara Robeco Equity Tax Saver Direct Growth,Very High,Equity,3.34,20.42,15.34,https://groww.in/mutual-funds/canara-robeco-equity-taxsaver-direct-growth
92,SBI Magnum COMMA Fund Direct Growth,₹409.66Cr,65.24,Exit load of 0.50% if redeemed within 30 days.,,500.0,9.90834148,1.62291094,10.53,89.47,,,SBI Magnum COMMA Fund Direct Growth,Very High,Equity,-8.13,20.42,11.86,https://groww.in/mutual-funds/sbi-magnum-comma-fund-direct-growth
93,Franklin India Smaller Companies Direct Fund Growth,"₹6,208.36Cr",93.84,Exit load of 1% if redeemed within 1 year.,2,500.0,18.60727448,2.64335396,4.59617634,95.40382328,,,Franklin India Smaller Companies Direct Fund Growth,Very High,Equity,3.3,20.22,10.03,https://groww.in/mutual-funds/franklin-india-smaller-companies-fund-direct-growth
94,HSBC Small Cap Equity Fund Direct Growth,₹267.34Cr,82.37,Exit load of 1% if redeemed within 1 year,2,500.0,31.03944656,3.9475538,3.58,96.42,,,HSBC Small Cap Equity Fund Direct Growth,Very High,Equity,-4.89,20.17,8.23,https://groww.in/mutual-funds/hsbc-midcap-equity-fund-direct-growth
95,Mirae Asset Great Consumer Fund Direct Growth,"₹1,649.14Cr",62.20,Exit load of 1% if redeemed within 1 year,3,1649.14,40.30169322,6.46114539,1.312444889999999,98.68755534,,,Mirae Asset Great Consumer Fund Direct Growth,Very High,Equity,11.27,20.17,14.95,https://groww.in/mutual-funds/mirae-asset-great-consumer-fund-direct-growth
96,Mirae Asset Tax Saver Fund Direct Growth,"₹11,494.59Cr",31.90,Nil,5,500.0,19.75972839,3.08151738,0.8917962800000001,99.10820298,,,Mirae Asset Tax Saver Fund Direct Growth,Very High,Equity,3.22,20.07,15.49,https://groww.in/mutual-funds/mirae-asset-tax-saver-fund-direct-growth
97,ICICI Prudential Manufacturing Fund Direct Growth,₹569.47Cr,17.70,Exit load of 1% if redeemed within 1 year.,,100.0,14.71295056,2.23822905,3.31549369,96.68450614,,,ICICI Prudential Manufacturing Fund Direct Growth,Very High,Equity,8.46,20.03,,https://groww.in/mutual-funds/icici-prudential-manufacture-in-india-fund-direct-growth
98,Aditya Birla Sun Life India GenNext Direct Fund Growth,"₹2,576.63Cr",147.84,1% for redemption within 30 days,3,2576.63,32.79971642,4.64736692,3.16799856,96.83200205,,,Aditya Birla Sun Life India GenNext Direct Fund Growth,Very High,Equity,9.98,19.59,13.89,https://groww.in/mutual-funds/birla-sun-life-india-gennext-fund-direct-growth
99,SBI Magnum Global Direct Plan Growth,"₹4,824.45Cr",288.73,Exit load of 1% if redeemed within 12 months.,,500.0,40.86984157,8.50440048,5.69,94.31,,,SBI Magnum Global Direct Plan Growth,Very High,Equity,2.43,19.46,11.95,https://groww.in/mutual-funds/sbi-magnum-global-fund-94-direct-growth
100,ICICI Prudential Bharat Consumption Fund Direct Growth,"₹1,743.97Cr",16.05,Exit load of 1% if redeemed within 3 months.,3,100.0,38.79713656,4.50450928,15.84343896,84.15656081,,,ICICI Prudential Bharat Consumption Fund Direct Growth,High,Equity,21.22,19.46,,https://groww.in/mutual-funds/icici-prudential-bharat-consumption-fund-direct-growth
101,Tata Infrastructure Direct Plan Growth,₹789.51Cr,96.57,Exit load of 0.25% if redeemed within 30 days.,3,150.0,23.22035585,2.86318549,3.66,96.34,,,Tata Infrastructure Direct Plan Growth,Very High,Equity,13.39,19.44,11.5,https://groww.in/mutual-funds/tata-infrastructure-fund-direct-growth
102,Templeton India Value Fund Direct Plan Growth,₹632.62Cr,425.11,Exit load of 1% if redeemed within 1 year,3,500.0,12.42162663,1.92550453,6.29327386,93.70672597,,,Templeton India Value Fund Direct Plan Growth,Very High,Equity,10.75,19.42,10.27,https://groww.in/mutual-funds/templeton-india-growth-fund-direct-growth
103,BNP Paribas Multi Cap Fund Direct Growth,₹561.51Cr,83.93,"Exit load of 1%, if redeemed within 3 months",,561.51,23.69638818,3.62467259,5.04,94.96,,,BNP Paribas Multi Cap Fund Direct Growth,Very High,Equity,20.46,19.42,15.26,https://groww.in/mutual-funds/bnp-paribas-dividend-yield-fund-direct-growth
104,Kotak Infrastructure and Economic Reform Fund Direct Growth,₹533.29Cr,36.92,"For units in excess of 10% of the investment,1% will be charged for redemption within 365 days",4,533.29,26.43071058,3.54252559,3.21,96.79,,,Kotak Infrastructure and Economic Reform Fund Direct Growth,Very High,Equity,15.01,19.34,10.99,https://groww.in/mutual-funds/kotak-infrastructure-economic-reform-fund-direct-growth
105,UTI Flexi Cap Fund Direct Growth,"₹22,656.75Cr",236.24,For more than 10% of investments 1% will be charged if redeemed within 1 year,4,500.0,28.08086008,5.75214348,4.06,95.91,,,UTI Flexi Cap Fund Direct Growth,Very High,Equity,-3.92,19.28,13.73,https://groww.in/mutual-funds/uti-equity-fund-direct-growth
106,Edelweiss Large &amp; Mid Cap Direct Plan Growth,"₹1,269.68Cr",55.83,Exit load of 1% if redeemed within 12 months,5,1269.68,26.70714929,3.67867927,3.589999999999999,96.41,,,Edelweiss Large &amp; Mid Cap Direct Plan Growth,Very High,Equity,3.98,19.26,14.09,https://groww.in/mutual-funds/edelweiss-equity-opportunities-fund-direct-growth
107,ICICI Prudential Large &amp; Mid Cap Fund Direct Plan Growth,"₹4,973.07Cr",572.67,Exit load of 1% if redeemed within 1 month.,3,100.0,17.40188392,2.37024271,5.02280123,94.97719877,,,ICICI Prudential Large &amp; Mid Cap Fund Direct Plan Growth,Very High,Equity,13.66,19.24,12.16,https://groww.in/mutual-funds/icici-prudential-top-100-fund-direct-growth
108,Invesco India Multicap Fund Direct Growth,"₹1,833.32Cr",83.42,"For units in excess of 10% of the investment, 1% will be charged for redemption within 1 year.",,500.0,23.89109919,3.13393726,2.88,97.12,,,Invesco India Multicap Fund Direct Growth,Very High,Equity,-2.2,19.16,11.41,https://groww.in/mutual-funds/invesco-india-mid-n-small-cap-fund-direct-growth
109,Baroda BNP Paribas Multi Cap Fund Direct Growth,"₹1,516.42Cr",171.89,"Exit load of 1%, if redeemed within 12 months.",4,500.0,23.85099518,3.1408018,7.79,92.21365335,,,Baroda BNP Paribas Multi Cap Fund Direct Growth,Very High,Equity,5.4,19.15,11.68,https://groww.in/mutual-funds/baroda-bnp-paribas-multi-cap-fund-direct-growth
110,Tata India Consumer Fund Direct Growth,"₹1,221.96Cr",28.43,Exit load of 0.25% if redeemed within 30 days.,2,150.0,44.3548254,7.21989722,5.50999999,94.48,,,Tata India Consumer Fund Direct Growth,Very High,Equity,9.21,19.12,13.29,https://groww.in/mutual-funds/tata-india-consumer-fund-direct-growth
111,Nippon India Focused Equity Fund Direct Growth,"₹5,446.22Cr",81.60,"For units more than 10% of the investments, an exit load of 1% if redeemed within 12 months.",3,100.0,19.48620455,2.90948548,5.71,94.29,,,Nippon India Focused Equity Fund Direct Growth,Very High,Equity,9.16,19.12,11.57,https://groww.in/mutual-funds/nippon-india-focused-equity-fund-direct-growth
112,Union Long Term Equity Fund Direct Growth,₹478.56Cr,41.64,Nil,4,500.0,25.62390458,3.76971189,4.3,95.7,,,Union Long Term Equity Fund Direct Growth,Very High,Equity,4.81,19.03,12.17,https://groww.in/mutual-funds/union-tax-saver-scheme-direct-growth
113,Sundaram Large and Mid Cap Fund Direct Growth,"₹4,531.55Cr",55.50,"For units more than 25% of the investments, an exit load of 1% if redeemed within 365 days.",3,100.0,24.71203634,3.34610814,5.1573029,94.8426972,,,Sundaram Large and Mid Cap Fund Direct Growth,Very High,Equity,3.52,18.95,11.88,https://groww.in/mutual-funds/sundaram-equity-multiplier-fund-direct-growth
114,Aditya Birla Sun Life Mid Cap Direct Fund Growth,"₹3,160.30Cr",482.92,1% for redemption within 90 days,2,3160.3,21.64944297,3.11836945,3.62946628,96.37053427,,,Aditya Birla Sun Life Mid Cap Direct Fund Growth,Very High,Equity,7.6,18.88,9.01,https://groww.in/mutual-funds/birla-sun-life-mid-cap-fund-plan-a-direct-growth
115,Union Flexi Cap Fund Direct Growth,"₹1,084.67Cr",33.54,1% exit load if redeemed within 15 days.,4,1084.67,24.87936552,3.76335606,5.189999999999999,94.81,,,Union Flexi Cap Fund Direct Growth,Very High,Equity,2.38,18.85,12.48,https://groww.in/mutual-funds/union-equity-fund-direct-growth
116,ICICI Prudential Dividend Yield Equity Fund Direct Growth,₹921.23Cr,27.76,Exit load of 1% if redeemed within 1 year.,,100.0,14.86634783,2.22064226,7.26285892,92.73714091,,,ICICI Prudential Dividend Yield Equity Fund Direct Growth,Very High,Equity,13.08,18.8,9.51,https://groww.in/mutual-funds/icici-prudential-dividend-yield-equity-fund-direct-growth
117,Mahindra Manulife ELSS Kar Bachat Yojana Direct Growth,₹435.37Cr,19.77,Nil,3,500.0,21.77832293,3.13139443,1.04,98.96,,,Mahindra Manulife ELSS Kar Bachat Yojana Direct Growth,Very High,Equity,5.48,18.78,10.58,https://groww.in/mutual-funds/mahindra-kar-bachat-yojana-direct-growth
118,DSP Tax Saver Direct Plan Growth,"₹9,091.49Cr",82.99,Nil,4,500.0,17.16160326,2.59089422,3.09,96.91,,,DSP Tax Saver Direct Plan Growth,Very High,Equity,2.61,18.78,13.02,https://groww.in/mutual-funds/dsp-blackrock-tax-saver-fund-direct-growth
119,Kotak Equity Opportunities Fund Direct Growth,"₹9,222.59Cr",209.17,"For units in excess of 10% of the investment,1% will be charged for redemption within 365 days",4,9222.59,23.17588738,3.39319632,6.200003,93.8,,,Kotak Equity Opportunities Fund Direct Growth,Very High,Equity,5.19,18.76,12.49,https://groww.in/mutual-funds/kotak-opportunities-fund-direct-growth
120,Taurus Ethical Fund Direct Growth,₹73.30Cr,86.43,Exit load of 1% if redeemed within 365 days.,,73.3,28.91438178,4.56491143,1.01,98.99,,,Taurus Ethical Fund Direct Growth,Very High,Equity,-0.33,18.69,13.53,https://groww.in/mutual-funds/taurus-ethical-fund-direct-growth
121,LIC MF Large &amp; Mid Cap Fund Direct Growth,"₹1,637.64Cr",25.58,"For units more than 12% of the investments, an exit load of 1% if redeemed within 12 months.",4,1637.64,21.9517303,3.67029697,5.24999999,94.75,,,LIC MF Large &amp; Mid Cap Fund Direct Growth,Very High,Equity,7.81,18.65,12.52,https://groww.in/mutual-funds/lic-mf-midcap-fund-direct-growth
122,ICICI Prudential Equity &amp; Debt Fund Direct Growth,"₹18,586.87Cr",238.94,"For units in excess of 30% of the investment,1% will be charged for redemption within 365 days",5,100.0,13.037755,1.99743026,28.34109347,71.65890653,4328.9,6.91,ICICI Prudential Equity &amp; Debt Fund Direct Growth,Very High,Hybrid,16.35,18.64,13.3,https://groww.in/mutual-funds/icici-prudential-balanced-direct-growth
123,ICICI Prudential Retirement Fund Pure Equity Plan Direct Growth,₹163.24Cr,17.42,Nil,4,100.0,19.50084731,2.87054457,12.79523199,87.20476781,,,ICICI Prudential Retirement Fund Pure Equity Plan Direct Growth,Moderately High,Solution Oriented,18.91,18.63,,https://groww.in/mutual-funds/icici-prudential-retirement-fund-pure-equity-plan-direct-growth
124,ICICI Prudential Focused Equity Fund Direct Growth,"₹3,110.61Cr",52.24,Exit load of 1% if redeemed within 1 year,4,100.0,21.50427708,2.82129853,8.1131692,91.88683065,,,ICICI Prudential Focused Equity Fund Direct Growth,Very High,Equity,7.78,18.6,12.48,https://groww.in/mutual-funds/icici-prudential-select-large-cap-fund-direct-growth
125,IDBI Dividend Yield Fund Direct Growth,₹83.78Cr,16.79,Exit load of 1% if redeemed within 12 months for units beyond 10% of the investment.,,500.0,17.93283476,3.04117884,2.8,97.2,,,IDBI Dividend Yield Fund Direct Growth,Very High,Equity,4.29,18.56,,https://groww.in/mutual-funds/idbi-dividend-yield-fund-direct-growth
126,IDBI Flexi Cap Fund Direct Growth,₹346.37Cr,35.93,Exit load of 1% if redeemed within 12 months.,4,500.0,25.17142911,3.60133634,1.27,98.73,,,IDBI Flexi Cap Fund Direct Growth,Very High,Equity,6.78,18.56,11.79,https://groww.in/mutual-funds/idbi-diversified-equity-fund-direct-growth
127,HDFC Large and Mid Cap Fund Direct Growth,"₹5,817.02Cr",186.56,Exit load of 1% if redeemed within 1 year,3,300.0,16.44248113,2.4447112,1.632604,98.368467,,,HDFC Large and Mid Cap Fund Direct Growth,Very High,Equity,9.0,18.47,11.71,https://groww.in/mutual-funds/hdfc-large-cap-fund-direct-growth
128,SBI Large &amp; Midcap Fund Direct Plan Growth,"₹6,394.23Cr",371.54,Exit load of 0.10% if redeemed within 30 days.,4,500.0,21.40577888,3.1155074,7.43555506,92.56444494,,,SBI Large &amp; Midcap Fund Direct Plan Growth,Very High,Equity,4.35,18.38,12.96,https://groww.in/mutual-funds/sbi-magnum-multiplier-fund-direct-growth
129,ICICI Prudential Infrastructure Direct Growth,"₹1,826.06Cr",87.98,Exit load of 1% if redeemed within 15 days,4,100.0,9.86269282,1.40845417,8.31284184,91.68715787,,,ICICI Prudential Infrastructure Direct Growth,Very High,Equity,16.61,18.36,11.2,https://groww.in/mutual-funds/icici-prudential-infrastructure-fund-direct-growth
130,PGIM India ELSS Tax Saver Fund Direct Growth,₹369.08Cr,24.67,Nil,4,500.0,17.62345548,2.60419194,6.07999999,93.92,,,PGIM India ELSS Tax Saver Fund Direct Growth,Very High,Equity,7.49,18.31,12.89,https://groww.in/mutual-funds/pgim-india-elss-tax-saver-fund-direct-growth
131,JM Equity Hybrid Fund Direct Growth,₹9.72Cr,71.11,1% for redemption within 60 days,2,500.0,25.25258099,3.33699668,27.34496507,72.65503477,3.65,3.16,JM Equity Hybrid Fund Direct Growth,Very High,Hybrid,3.09,18.15,9.18,https://groww.in/mutual-funds/jm-balanced-direct-growth
132,Sundaram Focused Fund Direct Growth,₹648.72Cr,107.76,Exit load of 0.25% if redeemed within 7 days.,4,100.0,21.97418,2.69792581,10.3254838,89.6745162,,,Sundaram Focused Fund Direct Growth,Very High,Equity,0.69,18.12,12.38,https://groww.in/mutual-funds/sundaram-focused-fund-direct-growth
133,Bank of India Large &amp; Mid Cap Equity Fund Direct Growth,₹181.85Cr,57.49,"For units more than 10% of the investments, an exit load of 1% if redeemed within 1 year.",3,181.85,20.43735491,3.0948738,0.263516,99.73656,,,Bank of India Large &amp; Mid Cap Equity Fund Direct Growth,Very High,Equity,-0.38,18.08,10.13,https://groww.in/mutual-funds/boi-axa-equity-fund-direct-growth
134,Sundaram Dividend Yield Fund Direct Growth,₹276.83Cr,85.52,"For units in excess of 24% of the investment,1% will be charged for redemption within 365 days",,500.0,15.44323949,2.62326431,10.94510608,89.05489392,,,Sundaram Dividend Yield Fund Direct Growth,Very High,Equity,3.39,18.05,12.09,https://groww.in/mutual-funds/sundaram-dividend-yield-fund-direct-growth
135,Sundaram Select Focus Fund Direct Growth,"₹1,353.89Cr",283.51,"For units more than 25% of the investments, an exit load of 1% if redeemed within 365 days.",5,1353.89,25.19194711,3.44247602,2.7315518,97.2684481,,,Sundaram Select Focus Fund Direct Growth,Very High,Equity,25.71,18.04,18.5,https://groww.in/mutual-funds/sundaram-select-focus-direct-growth
136,Invesco India Contra Fund Direct Growth,"₹8,210.76Cr",82.67,"For units in excess of 10% of the investment, 1% will be charged for redemption within 1 year.",4,500.0,20.67385595,2.86048512,1.99,98.01,,,Invesco India Contra Fund Direct Growth,Very High,Equity,3.84,18.03,13.61,https://groww.in/mutual-funds/invesco-india-contra-fund-direct-growth
137,UTI Long Term Equity Fund Direct Growth,"₹2,613.82Cr",145.27,Nil,3,500.0,24.65837467,3.76149508,1.52,98.49,,,UTI Long Term Equity Fund Direct Growth,Very High,Equity,1.93,18.03,11.55,https://groww.in/mutual-funds/uti-long-term-equity-fund-tax-saving-direct-growth
138,Canara Robeco Flexi Cap Fund Direct Growth,"₹7,102.55Cr",225.17,"Exit load of 1% if redeemed within 1 year.
Same for SIP.",5,7102.55,27.63096562,3.76339074,4.89,95.11,,,Canara Robeco Flexi Cap Fund Direct Growth,Very High,Equity,2.66,18.02,13.83,https://groww.in/mutual-funds/canara-robeco-equity-diversified-direct-growth
139,Nippon India Value Fund Direct Growth,"₹4,100.00Cr",124.44,"For units more than 10% of the investments, an exit load of 1% if redeemed within 12 months.",3,100.0,18.06576976,2.629714,6.521435,93.478572,,,Nippon India Value Fund Direct Growth,Very High,Equity,3.44,18.01,12.27,https://groww.in/mutual-funds/nippon-india-value-fund-direct-growth
